Date,Country,Marker,Description,News Url
1/25/20,,Tahun Baru Imlek,Tahun Baru Imlek,
2/1/20,,Diamond Princess terjangkit wabah COVID-19,Kapal pesiar Diamond Princess dinyatakan positif terjangkit COVID-19,
2/8/20,Sri Lanka,Semua pasien sembuh,Semua pasien COVID-19 di Sri Lanka sembuh,
2/10/20,South Korea,Pasien 31 menghadiri Shincheonji,Patient 31 kebaktian di Shincheonji,https://www.todayonline.com/world/explainer-what-behind-sudden-surge-Covid-19-cases-south-korea-secretive-sect-patient-31
2/12/20,Cambodia,Semua pasien sembuh,Semua pasien COVID-19 di Kamboja sembuh,
2/13/20,,Valentine's Day,Perayaan hari kasih sayang (Valentine's Day) di sebagian negara-negara Asia,
2/15/20,South Korea,Pasien 31 menghadiri Shincheonji,Patient 31 kebaktian di Shincheonji,https://www.todayonline.com/world/explainer-what-behind-sudden-surge-Covid-19-cases-south-korea-secretive-sect-patient-31
2/16/20,South Korea,Pasien 31 menghadiri Shincheonji,Patient 31 kebaktian di Shincheonji,https://www.todayonline.com/world/explainer-what-behind-sudden-surge-Covid-19-cases-south-korea-secretive-sect-patient-31
2/21/20,Italy,Lombardy terjangkit wabah COVID-19,Kasus COVID-19 melonjak di Lombardy,
2/25/20,Vietnam,Semua pasien sembuh,Semua pasien COVID-19 di Vietnam sembuh,
2/27/20,Indonesia,Penundaan akses umrah jemaah dari Indonesia,Arab Saudi menunda sementara perjalanan umrah jemaah dari Indonesia,
3/2/20,Indonesia,Kasus pertama di Indonesia,Pasien pertama yang dinyatakan positif COVID-19 di Indonesia,
3/6/20,,100.000 kasus di seluruh dunia,COVID-19 menembus angka 100.000 kasus,
